"x, мм";"I, нА";"\sigma_x, мм";"\sigma_I, нА"
242.0;	240.5;	0.5;	10.9
211.0;	211.5;	0.5;	8.2
187.5;	188.7;	0.5;	6.4
169.0;	170.3;	0.5;	5.2
153.0;	155.2;	0.5;	4.3
141.0;	142.6;	0.5;	3.6
130.5;	131.8;	0.5;	3.1
121.0;	122.6;	0.5;	2.6
113.0;	114.6;	0.5;	2.3
106.0;	107.5;	0.5;	2.0
