"B, мТл",kI,\varepsilon_kI,\sigma_kI,"\sigma_B, мТл",n,"I, A"
2.45,3.55,0.085,0.30,0.21,1,0.69
4.79,3.55,0.085,0.30,0.41,2,1.35
7.32,3.55,0.085,0.30,0.62,3,2.06
9.94,3.55,0.085,0.30,0.85,4,2.8
12.47,3.55,0.085,0.30,1.06,5,3.51
14.95,3.55,0.085,0.30,1.27,6,4.21
