Time,Value,Value_2ND, ,DateTime : ( 24 / 01 / 08 -- 14 : 02 : 09 )
"13 : 55 : 16",17.77462950000000, 
"13 : 55 : 17",17.76902190000000, 
"13 : 55 : 18",17.76348870000000, 
"13 : 55 : 19",17.75888060000000, 
"13 : 55 : 20",17.75414270000000, 
"13 : 55 : 21",17.74916450000000, 
"13 : 55 : 22",17.74307440000000, 
"13 : 55 : 23",17.73906320000000, 
"13 : 55 : 24",17.73492620000000, 
"13 : 55 : 25",17.72996130000000, 
"13 : 55 : 26",17.72539520000000, 
"13 : 55 : 27",17.72156710000000, 
"13 : 55 : 28",17.71670150000000, 
"13 : 55 : 29",17.71299930000000, 
"13 : 55 : 30",17.70882600000000, 
"13 : 55 : 31",17.70485110000000, 
"13 : 55 : 32",17.70083990000000, 
"13 : 55 : 33",17.69739340000000, 
"13 : 55 : 34",17.69391820000000, 
"13 : 55 : 35",17.68960380000000, 
"13 : 55 : 36",17.68609040000000, 
"13 : 55 : 37",17.68247410000000, 
"13 : 55 : 38",17.67916870000000, 
"13 : 55 : 39",17.67547030000000, 
"13 : 55 : 40",17.67317960000000, 
"13 : 55 : 41",17.66973870000000, 
"13 : 55 : 42",17.66594880000000, 
"13 : 55 : 43",17.66352270000000, 
"13 : 55 : 44",17.66048040000000, 
"13 : 55 : 45",17.65699760000000, 
"13 : 55 : 46",17.65393440000000, 
"13 : 55 : 47",17.65106010000000, 
"13 : 55 : 48",17.64842410000000, 
"13 : 55 : 49",17.64599220000000, 
"13 : 55 : 50",17.64318840000000, 
"13 : 55 : 51",17.64044570000000, 
"13 : 55 : 52",17.63816640000000, 
"13 : 55 : 53",17.63564680000000, 
"13 : 55 : 54",17.63273810000000, 
"13 : 55 : 55",17.63060560000000, 
"13 : 55 : 56",17.62850180000000, 
"13 : 55 : 57",17.62613480000000, 
"13 : 55 : 58",17.62370870000000, 
"13 : 55 : 59",17.62180510000000, 
"13 : 56 : 00",17.61939810000000, 
"13 : 56 : 01",17.61768150000000, 
"13 : 56 : 02",17.61545940000000, 
"13 : 56 : 03",17.61299700000000, 
"13 : 56 : 04",17.61146920000000, 
"13 : 56 : 05",17.60953900000000, 
"13 : 56 : 06",17.60789480000000, 
"13 : 56 : 07",17.60562700000000, 
"13 : 56 : 08",17.60408970000000, 
"13 : 56 : 09",17.60250660000000, 
"13 : 56 : 10",17.60066600000000, 
"13 : 56 : 11",17.59909620000000, 
"13 : 56 : 12",17.59745020000000, 
"13 : 56 : 13",17.59611510000000, 
"13 : 56 : 14",17.59448810000000, 
"13 : 56 : 16",17.59244910000000, 
"13 : 56 : 16",17.59049030000000, 
"13 : 56 : 17",17.58876800000000, 
"13 : 56 : 18",17.58730120000000, 
"13 : 56 : 19",17.58624450000000, 
"13 : 56 : 20",17.58541480000000, 
"13 : 56 : 21",17.58304020000000, 
"13 : 56 : 22",17.58200070000000, 
"13 : 56 : 23",17.58080670000000, 
"13 : 56 : 24",17.57981490000000, 
"13 : 56 : 25",17.57813450000000, 
"13 : 56 : 26",17.57727620000000, 
"13 : 56 : 27",17.57612800000000, 
"13 : 56 : 29",17.57486910000000, 
"13 : 56 : 29",17.57430640000000, 
"13 : 56 : 30",17.57294080000000, 
"13 : 56 : 32",17.57167240000000, 
"13 : 56 : 32",17.56984320000000, 
"13 : 56 : 33",17.56861870000000, 
"13 : 56 : 34",17.56581680000000, 
"13 : 56 : 35",17.56654730000000, 
"13 : 56 : 37",17.56484600000000, 
"13 : 56 : 38",17.56542390000000, 
"13 : 56 : 39",17.56480020000000, 
"13 : 56 : 40",17.56263730000000, 
"13 : 56 : 41",17.56237790000000, 
"13 : 56 : 42",17.56236260000000, 
"13 : 56 : 43",17.56123350000000, 
"13 : 56 : 44",17.56039420000000, 
"13 : 56 : 45",17.55937760000000, 
"13 : 56 : 46",17.55830380000000, 
"13 : 56 : 47",17.55742260000000, 
"13 : 56 : 48",17.55650900000000, 
"13 : 56 : 49",17.55568310000000, 
"13 : 56 : 50",17.55475990000000, 
"13 : 56 : 51",17.55383680000000, 
"13 : 56 : 52",17.55297660000000, 
"13 : 56 : 53",17.55257790000000, 
"13 : 56 : 54",17.55212590000000, 
"13 : 56 : 55",17.55129240000000, 
"13 : 56 : 56",17.55067820000000, 
"13 : 56 : 57",17.55031770000000, 
"13 : 56 : 58",17.54978370000000, 
"13 : 56 : 59",17.54907220000000, 
"13 : 57 : 00",17.54865640000000, 
"13 : 57 : 01",17.54823490000000, 
"13 : 57 : 02",17.54720490000000, 
"13 : 57 : 03",17.54617500000000, 
"13 : 57 : 04",17.54620550000000, 
"13 : 57 : 05",17.54589840000000, 
"13 : 57 : 06",17.54529380000000, 
"13 : 57 : 07",17.54452320000000, 
"13 : 57 : 08",17.54444880000000, 
"13 : 57 : 09",17.54359050000000, 
"13 : 57 : 10",17.54334060000000, 
"13 : 57 : 11",17.54244230000000, 
"13 : 57 : 12",17.54262730000000, 
"13 : 57 : 13",17.54206270000000, 
"13 : 57 : 14",17.54162970000000, 
"13 : 57 : 15",17.54071230000000, 
"13 : 57 : 16",17.54093740000000, 
"13 : 57 : 17",17.54001040000000, 
"13 : 57 : 18",17.54029270000000, 
"13 : 57 : 19",17.53978340000000, 
"13 : 57 : 20",17.53931990000000, 
"13 : 57 : 21",17.53923410000000, 
"13 : 57 : 22",17.53832810000000, 
"13 : 57 : 23",17.53755560000000, 
"13 : 57 : 24",17.53734970000000, 
"13 : 57 : 25",17.53701780000000, 
"13 : 57 : 26",17.53718180000000, 
"13 : 57 : 27",17.53767770000000, 
