t,P
0,1.0
2,1.1
3,1.2
5,1.3
7,1.4
9,1.5
11,1.6
12,1.7
14,1.8
15,1.9
17,2.0
19,2.1
21,2.2
23,2.3
25,2.4
27,2.5
29,2.6
30,2.7
32,2.8
34,2.9
35,3.0
37,3.1
39,3.2
41,3.3
43,3.4
45,3.5
47,3.6
49,3.7
50,3.8
51,3.9
53,4.0
55,4.1
57,4.2
59,4.3
60,4.4
62,4.5
65,4.6
66,4.7
68,4.8
70,4.9
72,5.0
73,5.1
75,5.2
77,5.3
79,5.4
81,5.5
83,5.6
85,5.7
86,5.8
88,5.9
