t,P
0,1.0
1,1.1
3,1.2
5,1.3
7,1.4
9,1.5
12,1.6
14,1.7
16,1.8
19,1.9
21,2.0
23,2.1
26,2.2
28,2.3
30,2.4
31,2.5
33,2.6
35,2.7
38,2.8
40,2.9
41,3.0
43,3.1
45,3.2
47,3.3
49,3.4
51,3.5
52,3.6
54,3.7
56,3.8
58,3.9
60,4.0
62,4.1
64,4.2
66,4.3
68,4.4
70,4.5
72,4.6
74,4.7
76,4.8
78,4.9
80,5.0
81,5.1
83,5.2
84,5.3
86,5.4
88,5.5
90,5.6
92,5.7
93,5.8
95,5.9
